TimeSeries Dataset,Model,NoiseType,NoiseVol,Lr,hd_bites,MAE
SanFranciscoTraffic,RegHD,None,0,1e-05,1,0.1469861957386862
SanFranciscoTraffic,KalmanFilter,None,0,0.015,1,0.16141821983966403
SanFranciscoTraffic,ARHD,None,0,0.1,1,0.144249582494923
SanFranciscoTraffic,ARHD,None,0,0.01,1,0.14292234788340796
SanFranciscoTraffic,ARHD,None,0,0.001,1,0.15218736377923156
SanFranciscoTraffic,ARHD,None,0,0.0001,1,0.43325498835429654
SanFranciscoTraffic,ARHD,None,0,1e-05,1,0.6333178156900121
SanFranciscoTraffic,ARHD,None,0,0.1,2,0.14542612329414964
SanFranciscoTraffic,ARHD,None,0,0.01,2,0.14466526827879023
SanFranciscoTraffic,ARHD,None,0,0.001,2,0.15456144527289364
SanFranciscoTraffic,ARHD,None,0,0.0001,2,0.4251221401089419
SanFranciscoTraffic,ARHD,None,0,1e-05,2,0.6316784625456248
SanFranciscoTraffic,ARHD,None,0,0.1,4,0.14619186385305716
SanFranciscoTraffic,ARHD,None,0,0.01,4,0.14117869379559617
SanFranciscoTraffic,ARHD,None,0,0.001,4,0.1575232633161679
SanFranciscoTraffic,ARHD,None,0,0.0001,4,0.4104113423924413
SanFranciscoTraffic,ARHD,None,0,1e-05,4,0.6297796534342024
SanFranciscoTraffic,ARHD,None,0,0.1,8,0.8833838276463915
SanFranciscoTraffic,ARHD,None,0,0.01,8,0.263586688472683
SanFranciscoTraffic,ARHD,None,0,0.001,8,0.17537502316160283
SanFranciscoTraffic,ARHD,None,0,0.0001,8,0.2873114860485821
SanFranciscoTraffic,ARHD,None,0,1e-05,8,0.6068464389512515
MetroInterstateTrafficVolume,RegHD,None,0,1e-05,1,0.07302076570894502
MetroInterstateTrafficVolume,KalmanFilter,None,0,0.015,1,0.08290064372163806
MetroInterstateTrafficVolume,ARHD,None,0,0.1,1,0.15614671780896858
MetroInterstateTrafficVolume,ARHD,None,0,0.01,1,0.43310083329723437
MetroInterstateTrafficVolume,ARHD,None,0,0.001,1,0.5153739476371305
MetroInterstateTrafficVolume,ARHD,None,0,0.0001,1,0.5248775468307737
MetroInterstateTrafficVolume,ARHD,None,0,1e-05,1,0.5258420167138314
MetroInterstateTrafficVolume,ARHD,None,0,0.1,2,0.14750147429491617
MetroInterstateTrafficVolume,ARHD,None,0,0.01,2,0.3988061855022328
MetroInterstateTrafficVolume,ARHD,None,0,0.001,2,0.5103515750690881
MetroInterstateTrafficVolume,ARHD,None,0,0.0001,2,0.5243562076914007
MetroInterstateTrafficVolume,ARHD,None,0,1e-05,2,0.5257896882927223
MetroInterstateTrafficVolume,ARHD,None,0,0.1,4,0.1504476869489056
MetroInterstateTrafficVolume,ARHD,None,0,0.01,4,0.43658649267398125
MetroInterstateTrafficVolume,ARHD,None,0,0.001,4,0.5158862488301398
MetroInterstateTrafficVolume,ARHD,None,0,0.0001,4,0.5249306577849098
MetroInterstateTrafficVolume,ARHD,None,0,1e-05,4,0.5258473503672035
MetroInterstateTrafficVolume,ARHD,None,0,0.1,8,2.1722380190427124e+19
MetroInterstateTrafficVolume,ARHD,None,0,0.01,8,1.3977059937027223
MetroInterstateTrafficVolume,ARHD,None,0,0.001,8,0.2632697614745685
MetroInterstateTrafficVolume,ARHD,None,0,0.0001,8,0.430949329455122
MetroInterstateTrafficVolume,ARHD,None,0,1e-05,8,0.5146062304339275
GuangzhouTraffic,RegHD,None,0,1e-05,1,0.11318575013190335
GuangzhouTraffic,KalmanFilter,None,0,0.015,1,0.1082922806285127
GuangzhouTraffic,ARHD,None,0,0.1,1,0.1078665231331381
GuangzhouTraffic,ARHD,None,0,0.01,1,0.10425579624652777
GuangzhouTraffic,ARHD,None,0,0.001,1,0.16211070898276098
GuangzhouTraffic,ARHD,None,0,0.0001,1,0.6051685569797948
GuangzhouTraffic,ARHD,None,0,1e-05,1,0.7200731186960942
GuangzhouTraffic,ARHD,None,0,0.1,2,0.10912104170312643
GuangzhouTraffic,ARHD,None,0,0.01,2,0.10459328745018767
GuangzhouTraffic,ARHD,None,0,0.001,2,0.1561584342636424
GuangzhouTraffic,ARHD,None,0,0.0001,2,0.59629331055779
GuangzhouTraffic,ARHD,None,0,1e-05,2,0.7190021206076201
GuangzhouTraffic,ARHD,None,0,0.1,4,0.11137433517167451
GuangzhouTraffic,ARHD,None,0,0.01,4,0.10234851706259546
GuangzhouTraffic,ARHD,None,0,0.001,4,0.15168645616119925
GuangzhouTraffic,ARHD,None,0,0.0001,4,0.5906344290466777
GuangzhouTraffic,ARHD,None,0,1e-05,4,0.7183179722350111
GuangzhouTraffic,ARHD,None,0,0.01,8,33320.24862930102
GuangzhouTraffic,ARHD,None,0,0.001,8,0.4567232012033582
GuangzhouTraffic,ARHD,None,0,0.0001,8,0.516915717228475
GuangzhouTraffic,ARHD,None,0,1e-05,8,0.7079213045052548
EnergyConsumptionFraunhofer,RegHD,None,0,1e-05,1,0.1342721851311
EnergyConsumptionFraunhofer,KalmanFilter,None,0,0.015,1,0.11708202034109907
EnergyConsumptionFraunhofer,ARHD,None,0,0.1,1,0.12128669237454674
EnergyConsumptionFraunhofer,ARHD,None,0,0.01,1,0.11763994185817508
EnergyConsumptionFraunhofer,ARHD,None,0,0.001,1,0.16740292326359774
EnergyConsumptionFraunhofer,ARHD,None,0,0.0001,1,0.26483984963667523
EnergyConsumptionFraunhofer,ARHD,None,0,1e-05,1,0.31187576190551436
EnergyConsumptionFraunhofer,ARHD,None,0,0.1,2,0.1244595711061522
EnergyConsumptionFraunhofer,ARHD,None,0,0.01,2,0.11940536797305944
EnergyConsumptionFraunhofer,ARHD,None,0,0.001,2,0.17505052084569336
EnergyConsumptionFraunhofer,ARHD,None,0,0.0001,2,0.26202671304525216
EnergyConsumptionFraunhofer,ARHD,None,0,1e-05,2,0.3113579526594302
EnergyConsumptionFraunhofer,ARHD,None,0,0.1,4,0.11924496682656427
EnergyConsumptionFraunhofer,ARHD,None,0,0.01,4,0.11221668982199556
EnergyConsumptionFraunhofer,ARHD,None,0,0.001,4,0.1623594658101923
EnergyConsumptionFraunhofer,ARHD,None,0,0.0001,4,0.2589523008726693
EnergyConsumptionFraunhofer,ARHD,None,0,1e-05,4,0.31093579050322134
EnergyConsumptionFraunhofer,ARHD,None,0,0.1,8,1.1122909734181663
EnergyConsumptionFraunhofer,ARHD,None,0,0.01,8,0.11385709464599605
EnergyConsumptionFraunhofer,ARHD,None,0,0.001,8,0.248714591153798
EnergyConsumptionFraunhofer,ARHD,None,0,0.0001,8,0.24488490124106727
EnergyConsumptionFraunhofer,ARHD,None,0,1e-05,8,0.3055757486867439
ElectricityLoadDiagrams,RegHD,None,0,1e-05,1,0.10218869617077572
ElectricityLoadDiagrams,KalmanFilter,None,0,0.015,1,0.06509924330570822
ElectricityLoadDiagrams,ARHD,None,0,0.1,1,0.09634197044889302
ElectricityLoadDiagrams,ARHD,None,0,0.01,1,0.08071466606601263
ElectricityLoadDiagrams,ARHD,None,0,0.001,1,0.1189619754296289
ElectricityLoadDiagrams,ARHD,None,0,0.0001,1,0.33449420665951096
ElectricityLoadDiagrams,ARHD,None,0,1e-05,1,0.5009287073155944
ElectricityLoadDiagrams,ARHD,None,0,0.1,2,0.09825547121533457
ElectricityLoadDiagrams,ARHD,None,0,0.01,2,0.08072809558053905
ElectricityLoadDiagrams,ARHD,None,0,0.001,2,0.13373586168021703
ElectricityLoadDiagrams,ARHD,None,0,0.0001,2,0.3247358449169636
ElectricityLoadDiagrams,ARHD,None,0,1e-05,2,0.49849988063236517
ElectricityLoadDiagrams,ARHD,None,0,0.1,4,35246637553.70032
ElectricityLoadDiagrams,ARHD,None,0,0.01,4,0.7321612650652377
ElectricityLoadDiagrams,ARHD,None,0,0.001,4,0.11942429587320107
ElectricityLoadDiagrams,ARHD,None,0,0.0001,4,0.3170361131462231
ElectricityLoadDiagrams,ARHD,None,0,1e-05,4,0.4973265986944356
ElectricityLoadDiagrams,ARHD,None,0,0.1,8,194.6174797921719
ElectricityLoadDiagrams,ARHD,None,0,0.01,8,1.3862947162868389
ElectricityLoadDiagrams,ARHD,None,0,0.001,8,0.21002820489890645
ElectricityLoadDiagrams,ARHD,None,0,0.0001,8,0.43146465751215834
ElectricityLoadDiagrams,ARHD,None,0,1e-05,8,0.4811018808329377
